Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
25.0,9.99976,0.0999976,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
29.5,12.0918,0.120918,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
34.7,14.4348,0.144348,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
38.9,16.1502,0.161502,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
42.5,17.5728,0.175728,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
46.7,18.9535,0.189535,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
50.7,20.2087,0.202087,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
55.4,21.6313,0.216313,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
59.9,22.7191,0.227191,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
65.6,23.8488,0.238488,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
71.6,24.7274,0.247274,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
76.4,25.2714,0.252714,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
82.4,25.8571,0.258571,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
90.1,26.4429,0.264429,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
97.2,26.7358,0.267358,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
105.3,27.1123,0.271123,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
116.2,27.3215,0.273215,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
121.8,27.447,0.27447,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
126.9,27.4889,0.274889,None kPa,N/A,6872,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
7.8,2.84512,0.071128,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
8.6,4.10032,0.102508,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
9.4,4.76976,0.119244,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
10.0,5.39736,0.134934,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
10.6,6.0668,0.15167,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
10.9,5.94128,0.148532,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
11.4,6.77808,0.169452,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
11.6,6.52704,0.163176,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
11.9,6.9036,0.17259,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
12.3,6.81992,0.170498,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
12.5,6.56888,0.164222,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
12.8,6.23416,0.155854,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
13.0,5.8576,0.14644,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
13.5,5.39736,0.134934,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
13.7,5.18816,0.129704,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
14.2,4.93712,0.123428,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
14.6,5.14632,0.128658,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
15.4,5.14632,0.128658,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
15.6,5.35552,0.133888,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
16.7,5.69024,0.142256,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
2.6,0.25104,0.006276,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
3.5,0.4184,0.01046,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
4.2,0.6276,0.01569,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
4.9,0.8368,0.02092,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
7.0,1.84096,0.046024,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
9.5,3.89112,0.097278,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
10.4,4.68608,0.117152,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
11.2,5.35552,0.133888,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
11.7,5.77392,0.144348,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
12.2,5.77392,0.144348,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
13.0,5.23,0.13075,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
13.7,4.85344,0.121336,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
14.7,4.72792,0.118198,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
15.6,4.93712,0.123428,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
16.9,5.60656,0.140164,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
17.9,6.23416,0.155854,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
19.7,7.19648,0.179912,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
22.1,8.61904,0.215476,None kPa,N/A,6873,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
113.0,27.447,0.686176,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
115.0,27.4889,0.687222,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
116.0,27.6144,0.69036,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
119.0,27.7399,0.693498,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
120.0,27.8236,0.69559,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
127.0,28.2002,0.705004,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
129.0,28.1583,0.703958,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
130.0,28.2838,0.707096,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
132.0,28.4094,0.710234,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
133.0,28.5349,0.713372,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
138.0,28.9951,0.724878,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
141.0,29.2462,0.731154,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
142.0,29.4972,0.73743,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
144.0,30.2503,0.756258,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
146.0,29.8738,0.746844,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
147.0,30.083,0.752074,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
149.0,30.8361,0.770902,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
151.0,31.2963,0.782408,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
152.0,32.0913,0.802282,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
154.0,33.221,0.830524,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
155.0,34.3925,0.859812,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
157.0,35.8569,0.896422,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
158.0,37.5723,0.939308,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
124.0,28.0328,0.70082,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
125.0,27.4889,0.687222,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
126.0,28.1583,0.703958,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
127.0,27.6981,0.692452,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
129.0,27.6981,0.692452,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
130.0,27.8236,0.69559,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
132.0,27.5726,0.689314,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
134.0,27.8654,0.696636,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
135.0,27.9491,0.698728,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
135.0,27.6981,0.692452,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
136.0,27.9491,0.698728,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
140.0,27.9491,0.698728,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
140.0,28.6604,0.71651,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
142.0,28.8278,0.720694,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
143.0,28.1165,0.702912,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
145.0,28.0746,0.701866,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
145.0,28.9951,0.724878,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
146.0,29.3298,0.733246,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
146.0,28.242,0.70605,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
148.0,30.1248,0.75312,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
150.0,30.1666,0.754166,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
152.0,30.7524,0.76881,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
152.0,28.2002,0.705004,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
153.0,28.3257,0.708142,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
155.0,33.2628,0.83157,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
156.0,28.2838,0.707096,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
156.0,28.1165,0.702912,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
156.0,33.1373,0.828432,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
158.0,28.242,0.70605,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
159.0,35.6477,0.891192,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
159.0,28.5767,0.714418,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
160.0,36.359,0.908974,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
160.0,28.2838,0.707096,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
161.0,37.656,0.9414,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
161.0,28.4512,0.71128,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
163.0,37.656,0.9414,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
164.0,28.3257,0.708142,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
164.0,39.4551,0.986378,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
165.0,28.3675,0.709188,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
166.0,41.7563,1.04391,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
167.0,28.5767,0.714418,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
168.0,38.1581,0.953952,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
168.0,28.3257,0.708142,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
169.0,28.493,0.712326,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
169.0,40.5011,1.01253,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
170.0,28.6604,0.71651,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
170.0,28.2838,0.707096,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
171.0,36.6937,0.917342,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
171.0,28.4512,0.71128,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
173.0,34.6435,0.866088,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
174.0,33.1791,0.829478,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
176.0,33.1373,0.828432,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
177.0,28.493,0.712326,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
178.0,31.2126,0.780316,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
178.0,28.6186,0.715464,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
180.0,30.2922,0.757304,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
180.0,28.7022,0.717556,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
181.0,30.7106,0.767764,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
183.0,29.5809,0.739522,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
195.0,28.7441,0.718602,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
198.0,28.9951,0.724878,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
203.0,29.037,0.725924,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
205.0,29.1625,0.729062,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
158.0,33.2628,0.83157,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
160.0,33.6394,0.840984,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
162.0,37.4468,0.93617,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
163.0,39.0367,0.975918,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
164.0,41.84,1.046,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
165.0,40.6266,1.01567,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
167.0,37.8652,0.94663,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
170.0,38.8694,0.971734,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
171.0,35.4385,0.885962,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
173.0,34.4343,0.860858,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
174.0,33.1373,0.828432,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
121.0,27.9491,0.698728,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
123.0,27.9491,0.698728,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
150.0,29.1206,0.728016,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
152.0,29.1625,0.729062,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
153.0,29.2043,0.730108,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
155.0,29.1625,0.729062,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
157.0,29.288,0.7322,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
153.0,31.7147,0.792868,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
155.0,32.8862,0.822156,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
157.0,34.0159,0.850398,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
158.0,34.0159,0.850398,None kPa,N/A,6874,['C'],A,Vacuum adiabatic calorimetry,"not stated,99.6 % (total),estimated by the compiler",99.6,Not Specified %,1951
