Temperature: K,Heat capacity at constant pressure Cp: J/K/mol,Uncertainty,Pressure,Ref Temp,Data Set ID,State,Representation,Method,Description,Purity,Purity Units,Year
0.3835,0.01993,0.000299,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.3947,0.0192,0.000288,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4178,0.01801,0.000265,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4467,0.01692,0.000241,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4788,0.01614,0.000221,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.5127,0.01573,0.000206,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.549,0.01565,0.000196,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.5878,0.01593,0.000189,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.6267,0.01659,0.000186,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.6655,0.01753,0.000185,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.705,0.01878,0.000186,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.7456,0.02036,0.000188,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.7891,0.02238,0.000191,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.8367,0.02496,0.000193,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.8908,0.02836,0.000193,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.9518,0.03272,0.00019,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.0175,0.03817,0.000191,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.0891,0.04497,0.000225,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.1683,0.0534,0.000267,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.2554,0.06382,0.000319,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.3527,0.0768,0.000384,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.4601,0.09275,0.000464,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.577,0.1117,0.00056,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.7028,0.1342,0.00067,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.8355,0.1598,0.0008,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.9735,0.1882,0.00094,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.1159,0.2194,0.0011,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.2636,0.2539,0.00127,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.4192,0.291,0.00146,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.5867,0.3336,0.00167,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.7647,0.3806,0.0019,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.9543,0.4323,0.00216,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.1476,0.488,0.00244,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.3424,0.546,0.00273,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.5383,0.6047,0.00302,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.734,0.6669,0.00333,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.9294,0.7291,0.00365,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.3609,0.02159,0.000324,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.3809,0.02002,0.0003,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4048,0.01862,0.000278,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4329,0.01736,0.000251,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4635,0.01646,0.000229,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.4951,0.0159,0.000213,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.53,0.01563,0.000201,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.5681,0.01574,0.000192,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.6072,0.01623,0.000187,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.646,0.017,0.000185,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.6849,0.01813,0.000186,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.726,0.01956,0.000187,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.7688,0.02138,0.000189,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.8148,0.02373,0.000192,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.8654,0.02668,0.000193,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.9228,0.03058,0.000192,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.9864,0.03556,0.000186,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.0551,0.04165,0.000208,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.13,0.04919,0.000246,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.2136,0.05866,0.000293,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.306,0.07044,0.000352,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.4074,0.08471,0.000424,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.5168,0.1018,0.00051,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.6404,0.1229,0.00061,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.7693,0.1467,0.00073,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
1.9034,0.1734,0.00087,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.0437,0.2031,0.00102,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.1899,0.2359,0.00118,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.3425,0.2724,0.00136,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.5038,0.3124,0.00156,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.6779,0.3574,0.00179,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
2.8638,0.4076,0.00204,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.0576,0.4635,0.00232,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.2559,0.52,0.0026,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.4462,0.5767,0.00288,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.629,0.63,0.00315,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
3.8237,0.6951,0.00348,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
4.0292,0.7607,0.0038,None kPa,N/A,14688,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1964
0.02942,2.1419,0.042838,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.0314,1.938,0.03876,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.03268,1.7851,0.035702,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.03512,1.6075,0.03215,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.03669,1.5048,0.030096,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.03885,1.3823,0.027646,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.04071,1.2604,0.025208,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.04194,1.2178,0.024356,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.04449,1.0857,0.021714,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.04726,0.9802,0.019604,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.04948,0.9104,0.018208,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.05118,0.8297,0.016594,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.05395,0.7742,0.015484,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.05662,0.703,0.01406,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.05894,0.6554,0.013108,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.06208,0.5883,0.011766,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.06425,0.5502,0.011004,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.06843,0.4953,0.009906,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.07005,0.4699,0.009398,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.07561,0.4142,0.008284,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.08161,0.3508,0.007016,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.08832,0.301,0.00602,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.09656,0.2503,0.005006,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.10643,0.21,0.0042,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.11821,0.1689,0.003378,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.12966,0.1424,0.002848,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.1375,0.1283,0.002566,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.1435,0.119,0.00238,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.15117,0.1074,0.002148,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.15756,0.0985,0.00197,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.16585,0.08887,0.0017774,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.17122,0.083,0.00166,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.18807,0.0699,0.001398,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.19263,0.06646,0.0013292,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.20202,0.06015,0.001203,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.21046,0.05586,0.0011172,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.21949,0.05128,0.0010256,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.22894,0.04716,0.0009432,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.24133,0.04335,0.000867,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.25779,0.03885,0.000777,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.26291,0.03667,0.0007334,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.27764,0.03336,0.0006672,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.29247,0.03051,0.0006102,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.30662,0.0277,0.000554,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.32181,0.02553,0.0005106,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.33857,0.02367,0.0004734,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
0.39262,0.01941,0.0003882,None kPa,N/A,21609,['C'],A,Vacuum adiabatic calorimetry,"origin: synthesized by others,99.80 % (total),mass spectrometry",99.8,Not Specified %,1974
3.0185,0.4486,0.00269,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
3.3602,0.5481,0.00329,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
3.6959,0.6524,0.00391,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
4.0253,0.7601,0.00456,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
4.3527,0.8744,0.00525,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
4.6905,0.9982,0.00599,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
5.0537,1.1387,0.00683,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
5.4756,1.3111,0.00787,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
6.0171,1.5503,0.0093,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
6.7256,1.8891,0.01133,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
7.4764,2.2863,0.01372,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
8.1672,2.6816,0.01609,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
8.8367,3.098,0.0186,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
9.5328,3.571,0.0214,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
10.293,4.131,0.0245,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
11.138,4.805,0.0277,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
12.042,5.601,0.0313,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
12.966,6.475,0.035,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
13.845,7.345,0.0384,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
14.492,8.09,0.0413,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
14.953,8.65,0.0433,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
15.384,9.271,0.0456,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
15.735,9.847,0.0478,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
15.967,10.319,0.0496,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
16.116,10.571,0.0505,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
16.239,9.773,0.0464,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
16.376,8.355,0.0395,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
16.529,7.961,0.0374,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
16.725,7.912,0.0368,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
17.017,8.008,0.0368,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
17.446,8.209,0.037,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
18.134,8.651,0.0378,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
19.152,9.355,0.039,None kPa,N/A,16393,['C'],A,Vacuum adiabatic calorimetry,"origin: commercial source,99.7 weight % (total),spectroscopy,rod",99.7,Weight %,1966
